Year,Date,Stage,Course,Distance,Type,Winner
2005,05/07/2005,4,Tours to Blois,67.5 km (41.9 mi),Team time trial,Discovery Channel
2005,06/07/2005,5,Chambord to Montargis,183.0 km (113.7 mi),Plain stage,Robbie McEwen (AUS)
2005,07/07/2005,6,Troyes to Nancy,199.0 km (123.7 mi),Plain stage,Lorenzo Bernucci (ITA)
2005,08/07/2005,7,Lunéville to Karlsruhe (Germany),228.5 km (142.0 mi),Plain stage,Robbie McEwen (AUS)
2005,09/07/2005,8,Pforzheim (Germany) to Gérardmer,231.5 km (143.8 mi),Hilly stage,Pieter Weening (NED)
2005,10/07/2005,9,Gérardmer to Mulhouse,171.0 km (106.3 mi),Hilly stage,Michael Rasmussen (DEN)
2005,12/07/2005,10,Grenoble to Courchevel,177.0 km (110.0 mi),Mountain stage,Alejandro Valverde (ESP)
2005,13/07/2005,11,Courchevel to Briançon,173.0 km (107.5 mi),Mountain stage,Alexander Vinokourov (KAZ)
2005,14/07/2005,12,Briançon to Digne-les-Bains,187.0 km (116.2 mi),Hilly stage,David Moncoutié (FRA)
2005,15/07/2005,13,Miramas to Montpellier,173.5 km (107.8 mi),Plain stage,Robbie McEwen (AUS)
2005,16/07/2005,14,Agde to Ax 3 Domaines,220.5 km (137.0 mi),Mountain stage,Georg Totschnig (AUT)
2005,17/07/2005,15,Lézat-sur-Lèze to Saint-Lary-Soulan Pla d'Adet,205.5 km (127.7 mi),Mountain stage,George Hincapie (USA)
2005,19/07/2005,16,Mourenx to Pau,180.5 km (112.2 mi),Mountain stage,Óscar Pereiro (ESP)
2005,20/07/2005,17,Pau to Revel,239.5 km (148.8 mi),Plain stage,Paolo Savoldelli (ITA)
2005,21/07/2005,18,Albi to Mende,189.0 km (117.4 mi),Hilly stage,Marcos Antonio Serrano (ESP)
2005,22/07/2005,19,Issoire to Le Puy-en-Velay,153.5 km (95.4 mi),Hilly stage,Giuseppe Guerini (ITA)
2005,23/07/2005,20,Saint-Étienne to Saint-Étienne,55.5 km (34.5 mi),Individual time trial,Lance Armstrong (USA)[a]
2005,24/07/2005,21,Corbeil-Essonnes to Paris (Champs-Élysées),144.5 km (89.8 mi),Plain stage,Alexander Vinokourov (KAZ)
2006,01/07/2006,P,Strasbourg,7.1 km (4 mi),Individual time trial,Thor Hushovd (NOR)
2006,02/07/2006,1,Strasbourg,184.5 km (115 mi),Flat stage,Jimmy Casper (FRA)
2006,03/07/2006,2,Obernai to Esch-sur-Alzette (Luxembourg),228.5 km (142 mi),Flat stage,Robbie McEwen (AUS)
2006,04/07/2006,3,Esch-sur-Alzette (Luxembourg) to Valkenburg (Netherlands),216.5 km (135 mi),Hilly stage,Matthias Kessler (GER)
2006,05/07/2006,4,Huy (Belgium) to Saint-Quentin,207.0 km (129 mi),Flat stage,Robbie McEwen (AUS)
2006,06/07/2006,5,Beauvais to Caen,225.0 km (140 mi),Flat stage,Óscar Freire (ESP)
2006,07/07/2006,6,Lisieux to Vitré,189.0 km (117 mi),Flat stage,Robbie McEwen (AUS)
2006,08/07/2006,7,Saint Grégoire to Rennes,52.0 km (32 mi),Individual time trial,Serhiy Honchar (UKR)
2006,09/07/2006,8,Saint-Méen-le-Grand to Lorient,181.0 km (112 mi),Flat stage,Sylvain Calzati (FRA)
2006,11/07/2006,9,Bordeaux to Dax,169.5 km (105 mi),Flat stage,Óscar Freire (ESP)
2006,12/07/2006,10,Cambo-les-Bains to Pau,190.5 km (118 mi),Mountain stage,Juan Miguel Mercado (ESP)
2006,13/07/2006,11,Tarbes to Val d'Aran/Pla-de-Beret,206.5 km (128 mi),Mountain stage,Denis Menchov (RUS)
2006,14/07/2006,12,Luchon to Carcassonne,211.5 km (131 mi),Hilly stage,Yaroslav Popovych (UKR)
2006,15/07/2006,13,Béziers to Montélimar,230.0 km (143 mi),Flat stage,Jens Voigt (GER)
2006,16/07/2006,14,Montélimar to Gap,180.5 km (112 mi),Hilly stage,Pierrick Fédrigo (FRA)
2006,18/07/2006,15,Gap to Alpe d'Huez,187.0 km (116 mi),Mountain stage,Fränk Schleck (LUX)
2006,19/07/2006,16,Le Bourg-d'Oisans to La Toussuire,182.0 km (113 mi),Mountain stage,Michael Rasmussen (DEN)
2006,20/07/2006,17,Saint-Jean-de-Maurienne to Morzine,200.5 km (125 mi),Mountain stage,Carlos Sastre (ESP)
2006,21/07/2006,18,Morzine to Mâcon,197.0 km (122 mi),Flat stage,Matteo Tosatto (ITA)
2006,22/07/2006,19,Le Creusot to Montceau-les-Mines,57.0 km (35 mi),Individual time trial,Serhiy Honchar (UKR)
2006,23/07/2006,20,Antony/Parc de Sceaux to Paris (Champs-Élysées),154.5 km (96 mi),Flat stage,Thor Hushovd (NOR)
2007,07/07/2007,P,London (United Kingdom),7.9 km (5 mi),Individual time trial,Fabian Cancellara (SUI)
2007,08/07/2007,1,London (United Kingdom) to Canterbury (United Kingdom),203 km (126 mi),Plain stage,Robbie McEwen (AUS)
2007,09/07/2007,2,Dunkirk to Ghent (Belgium),168.5 km (105 mi),Plain stage,Gert Steegmans (BEL)
2007,10/07/2007,3,Waregem (Belgium) – Compiègne,236.5 km (147 mi),Plain stage,Fabian Cancellara (SUI)
2007,11/07/2007,4,Villers-Cotterêts to Joigny,193 km (120 mi),Plain stage,Thor Hushovd (NOR)
2007,12/07/2007,5,Chablis to Autun,182.5 km (113 mi),Intermediate stage,Filippo Pozzato (ITA)
2007,13/07/2007,6,Semur-en-Auxois to Bourg-en-Bresse,199.5 km (124 mi),Plain stage,Tom Boonen (BEL)
2007,14/07/2007,7,Bourg-en-Bresse to Le Grand-Bornand,197.5 km (123 mi),Mountain stage,Linus Gerdemann (GER)
2007,15/07/2007,8,Le Grand-Bornand to Tignes,165 km (103 mi),Mountain stage,Michael Rasmussen (DEN)
2007,17/07/2007,9,Val-d'Isère to Briançon,159.5 km (99 mi),Mountain stage,Mauricio Soler (COL)
2007,18/07/2007,10,Tallard to Marseille,229.5 km (143 mi),Plain stage,Cédric Vasseur (FRA)
2007,19/07/2007,11,Marseille to Montpellier,182.5 km (113 mi),Plain stage,Robert Hunter (RSA)
2007,20/07/2007,12,Montpellier to Castres,178.5 km (111 mi),Intermediate stage,Tom Boonen (BEL)
2007,21/07/2007,13,Albi,54 km (34 mi),Individual time trial,Cadel Evans (AUS)[a]
2007,22/07/2007,14,Mazamet to Plateau-de-Beille,197 km (122 mi),Mountain stage,Alberto Contador (ESP)
2007,23/07/2007,15,Foix to Loudenvielle,196 km (122 mi),Mountain stage,Kim Kirchen (LUX)[a]
2007,25/07/2007,16,Orthez to Gourette–Col d'Aubisque,218.5 km (136 mi),Mountain stage,Michael Rasmussen (DEN)
2007,26/07/2007,17,Pau to Castelsarrasin,188.5 km (117 mi),Intermediate stage,Daniele Bennati (ITA)
2007,27/07/2007,18,Cahors to Angoulême,211 km (131 mi),Plain stage,Sandy Casar (FRA)
2007,28/07/2007,19,Cognac to Angoulême,55.5 km (34 mi),Individual time trial,Levi Leipheimer (USA)
2007,29/07/2007,20,Marcoussis to Paris (Champs-Élysées),146 km (91 mi),Plain stage,Daniele Bennati (ITA)
2008,05/07/2008,1,Brest to Plumelec,197.5 km (122.7 mi),Flat stage,Alejandro Valverde (ESP)
2008,06/07/2008,2,Auray to Saint-Brieuc,164.5 km (102.2 mi),Flat stage,Thor Hushovd (NOR)
2008,07/07/2008,3,Saint-Malo to Nantes,208.0 km (129.2 mi),Flat stage,Samuel Dumoulin (FRA)
2008,08/07/2008,4,Cholet to Cholet,29.5 km (18.3 mi),Individual time trial,Kim Kirchen (LUX)
2008,09/07/2008,5,Cholet to Châteauroux,232.0 km (144.2 mi),Flat stage,Mark Cavendish (GBR)
2008,10/07/2008,6,Aigurande to Super-Besse Sancy,195.5 km (121.5 mi),Transition stage,Alejandro Valverde (ESP)
2008,11/07/2008,7,Brioude to Aurillac,159.0 km (98.8 mi),Transition stage,Luis León Sánchez (ESP)
2008,12/07/2008,8,Figeac to Toulouse,172.5 km (107.2 mi),Flat stage,Mark Cavendish (GBR)
2008,13/07/2008,9,Toulouse to Bagnères-de-Bigorre,224.0 km (139.2 mi),Mountain stage,Vladimir Efimkin (RUS)
2008,14/07/2008,10,Pau to Hautacam,156.0 km (96.9 mi),Mountain stage,Juan José Cobo (ESP)
2008,16/07/2008,11,Lannemezan to Foix,167.5 km (104.1 mi),Transition stage,Kurt Asle Arvesen (NOR)
2008,17/07/2008,12,Lavelanet to Narbonne,168.5 km (104.7 mi),Flat stage,Mark Cavendish (GBR)
2008,18/07/2008,13,Narbonne to Nîmes,182.0 km (113.1 mi),Flat stage,Mark Cavendish (GBR)
2008,19/07/2008,14,Nîmes to Digne-les-Bains,194.5 km (120.9 mi),Flat stage,Óscar Freire (ESP)
2008,20/07/2008,15,Embrun[a] to Prato Nevoso (Italy),183.0 km (113.7 mi),Mountain stage,Simon Gerrans (AUS)
2008,22/07/2008,16,Cuneo (Italy) to Jausiers,157.0 km (97.6 mi),Mountain stage,Cyril Dessel (FRA)
2008,23/07/2008,17,Embrun to Alpe d'Huez,210.5 km (130.8 mi),Mountain stage,Carlos Sastre (ESP)
2008,24/07/2008,18,Bourg-d'Oisans to Saint-Étienne,196.5 km (122.1 mi),Transition stage,Marcus Burghardt (GER)
2008,25/07/2008,19,Roanne to Montluçon,165.5 km (102.8 mi),Flat stage,Sylvain Chavanel (FRA)
2008,26/07/2008,20,Cérilly to Saint-Amand-Montrond,53.0 km (32.9 mi),Individual time trial,Fabian Cancellara (SUI)
2008,27/07/2008,21,Étampes to Paris (Champs-Élysées),143.0 km (88.9 mi),Flat stage,Gert Steegmans (BEL)
2009,04/07/2009,1,Monaco,15.5 km (10 mi),Individual time trial,Fabian Cancellara (SUI)
2009,05/07/2009,2,Monaco to Brignoles,187 km (116 mi),Flat stage,Mark Cavendish (GBR)
2009,06/07/2009,3,Marseille to La Grande-Motte,196.5 km (122 mi),Flat stage,Mark Cavendish (GBR)
2009,07/07/2009,4,Montpellier,39 km (24 mi),Team time trial,Astana
2009,08/07/2009,5,Cap d'Agde to Perpignan,196.5 km (122 mi),Flat stage,Thomas Voeckler (FRA)
2009,09/07/2009,6,Girona (Spain) to Barcelona (Spain),181.5 km (113 mi),Flat stage,Thor Hushovd (NOR)
2009,10/07/2009,7,Barcelona to Andorra-Arcalis (Andorra),224 km (139 mi),Mountain stage,Brice Feillu (FRA)
2009,11/07/2009,8,Andorra la Vella to Saint-Girons,176.5 km (110 mi),Mountain stage,Luis León Sánchez (ESP)
2009,12/07/2009,9,Saint-Gaudens to Tarbes,160.5 km (100 mi),Mountain stage,Pierrick Fédrigo (FRA)
2009,14/07/2009,10,Limoges to Issoudun,194.5 km (121 mi),Flat stage,Mark Cavendish (GBR)
2009,15/07/2009,11,Vatan to Saint-Fargeau,192 km (119 mi),Flat stage,Mark Cavendish (GBR)
2009,16/07/2009,12,Tonnerre to Vittel,211.5 km (131 mi),Flat stage,Nicki Sørensen (DEN)
2009,17/07/2009,13,Vittel to Colmar,200 km (124 mi),Medium mountain stage,Heinrich Haussler (GER)
2009,18/07/2009,14,Colmar to Besançon,199 km (124 mi),Flat stage,Sergei Ivanov (RUS)
2009,19/07/2009,15,Pontarlier to Verbier (Switzerland),207.5 km (129 mi),Mountain Stage,Alberto Contador (ESP)
2009,21/07/2009,16,Martigny (Switzerland) to Bourg-Saint-Maurice,159 km (99 mi),Mountain Stage,Sandy Casar (FRA)
2009,22/07/2009,17,Bourg-Saint-Maurice to Le Grand-Bornand,169.5 km (105 mi),Mountain Stage,Fränk Schleck (LUX)
2009,23/07/2009,18,Annecy,40.5 km (25 mi),Individual time trial,Alberto Contador (ESP)
2009,24/07/2009,19,Bourgoin-Jallieu to Aubenas,178 km (111 mi),Flat stage,Mark Cavendish (GBR)
2009,25/07/2009,20,Montélimar to Mont Ventoux,167 km (104 mi),Mountain stage,Juan Manuel Gárate (ESP)
2009,26/07/2009,21,Montereau-Fault-Yonne to Paris (Champs-Élysées),164 km (102 mi),Flat stage,Mark Cavendish (GBR)
2010,03/07/2010,P,Rotterdam (Netherlands),8.9 km (6 mi),Individual time trial,Fabian Cancellara (SUI)
2010,04/07/2010,1,Rotterdam to Brussels (Belgium),223.5 km (139 mi),Flat stage,Alessandro Petacchi (ITA)
2010,05/07/2010,2,Brussels to Spa (Belgium),201 km (125 mi),Flat stage,Sylvain Chavanel (FRA)
2010,06/07/2010,3,Wanze (Belgium) to Arenberg Porte du Hainaut,213 km (132 mi),Flat cobblestone stage,Thor Hushovd (NOR)
2010,07/07/2010,4,Cambrai to Reims,153.5 km (95 mi),Flat stage,Alessandro Petacchi (ITA)
2010,08/07/2010,5,Épernay to Montargis,187.5 km (117 mi),Flat stage,Mark Cavendish (GBR)
2010,09/07/2010,6,Montargis to Gueugnon,227.5 km (141 mi),Flat stage,Mark Cavendish (GBR)
2010,10/07/2010,7,Tournus to Station des Rousses,165.5 km (103 mi),Medium mountain stage,Sylvain Chavanel (FRA)
2010,11/07/2010,8,Station des Rousses to Morzine-Avoriaz,189 km (117 mi),Mountain stage,Andy Schleck (LUX)
2010,13/07/2010,9,Morzine-Avoriaz to Saint-Jean-de-Maurienne,204.5 km (127 mi),Mountain stage,Sandy Casar (FRA)
2010,14/07/2010,10,Chambéry to Gap,179 km (111 mi),Medium mountain stage,Sérgio Paulinho (POR)
2010,15/07/2010,11,Sisteron to Bourg-lès-Valence,184.5 km (115 mi),Flat stage,Mark Cavendish (GBR)
2010,16/07/2010,12,Bourg-de-Péage to Mende,210.5 km (131 mi),Medium mountain stage,Joaquim Rodríguez (ESP)
2010,17/07/2010,13,Rodez to Revel,196 km (122 mi),Flat stage,Alexander Vinokourov (KAZ)
2010,18/07/2010,14,Revel to Ax 3 Domaines,184.5 km (115 mi),Mountain stage,Christophe Riblon (FRA)
2010,19/07/2010,15,Pamiers to Bagnères-de-Luchon,187.5 km (117 mi),Mountain stage,Thomas Voeckler (FRA)
2010,20/07/2010,16,Bagnères-de-Luchon to Pau,199.5 km (124 mi),Mountain stage,Pierrick Fédrigo (FRA)
2010,22/07/2010,17,Pau to Col du Tourmalet,174 km (108 mi),Mountain stage,Andy Schleck (LUX)
2010,23/07/2010,18,Salies-de-Béarn to Bordeaux,198 km (123 mi),Flat stage,Mark Cavendish (GBR)
2010,24/07/2010,19,Bordeaux to Pauillac,52 km (32 mi),Individual time trial,Fabian Cancellara (SUI)
2010,25/07/2010,20,Longjumeau to Paris (Champs-Élysées),102.5 km (64 mi),Flat stage,Mark Cavendish (GBR)
2011,02/07/2011,1,Passage du Gois to Mont des Alouettes,191.5 km (119 mi),Flat stage,Philippe Gilbert (BEL)
2011,03/07/2011,2,Les Essarts,23.0 km (14 mi),Team time trial,Garmin–Cervélo
2011,04/07/2011,3,Olonne-sur-Mer to Redon,198.0 km (123 mi),Flat stage,Tyler Farrar (USA)
2011,05/07/2011,4,Lorient to Mûr-de-Bretagne,172.5 km (107 mi),Flat stage,Cadel Evans (AUS)
2011,06/07/2011,5,Carhaix to Cap Fréhel,164.5 km (102 mi),Flat stage,Mark Cavendish (GBR)
2011,07/07/2011,6,Dinan to Lisieux,226.5 km (141 mi),Flat stage,Edvald Boasson Hagen (NOR)
2011,08/07/2011,7,Le Mans to Châteauroux,218.0 km (135 mi),Flat stage,Mark Cavendish (GBR)
2011,09/07/2011,8,Aigurande to Super Besse,189.0 km (117 mi),Medium mountain stage,Rui Costa (POR)
2011,10/07/2011,9,Issoire to Saint-Flour,208.0 km (129 mi),Medium mountain stage,Luis León Sánchez (ESP)
2011,12/07/2011,10,Aurillac to Carmaux,158.0 km (98 mi),Flat stage,André Greipel (GER)
2011,13/07/2011,11,Blaye-les-Mines to Lavaur,167.5 km (104 mi),Flat stage,Mark Cavendish (GBR)
2011,14/07/2011,12,Cugnaux to Luz Ardiden,211.0 km (131 mi),High mountain stage,Samuel Sánchez (ESP)
2011,15/07/2011,13,Pau to Lourdes,152.5 km (95 mi),High mountain stage,Thor Hushovd (NOR)
2011,16/07/2011,14,Saint-Gaudens to Plateau de Beille,168.5 km (105 mi),High mountain stage,Jelle Vanendert (BEL)
2011,17/07/2011,15,Limoux to Montpellier,192.5 km (120 mi),Flat stage,Mark Cavendish (GBR)
2011,19/07/2011,16,Saint-Paul-Trois-Châteaux to Gap,162.5 km (101 mi),Medium mountain stage,Thor Hushovd (NOR)
2011,20/07/2011,17,Gap to Pinerolo (Italy),179.0 km (111 mi),High mountain stage,Edvald Boasson Hagen (NOR)
2011,21/07/2011,18,Pinerolo (Italy) to Col du Galibier,200.5 km (125 mi),High mountain stage,Andy Schleck (LUX)
2011,22/07/2011,19,Modane to Alpe d'Huez,109.5 km (68 mi),High mountain stage,Pierre Rolland (FRA)
2011,23/07/2011,20,Grenoble,42.5 km (26 mi),Individual time trial,Tony Martin (GER)
2011,24/07/2011,21,Créteil to Paris (Champs-Élysées),95.0 km (59 mi),Flat stage,Mark Cavendish (GBR)
2012,30/06/2012,P,Liège (Belgium),6.4 km (4 mi),Individual time trial,Fabian Cancellara (SUI)
2012,01/07/2012,1,Liège (Belgium) to Seraing (Belgium),198 km (123 mi),Flat stage,Peter Sagan (SVK)
2012,02/07/2012,2,Visé (Belgium) to Tournai (Belgium),207.5 km (129 mi),Flat stage,Mark Cavendish (GBR)
2012,03/07/2012,3,Orchies to Boulogne-sur-Mer,197 km (122 mi),Medium mountain stage,Peter Sagan (SVK)
2012,04/07/2012,4,Abbeville to Rouen,214.5 km (133 mi),Flat stage,André Greipel (GER)
2012,05/07/2012,5,Rouen to Saint-Quentin,196.5 km (122 mi),Flat stage,André Greipel (GER)
2012,06/07/2012,6,Épernay to Metz,205 km (127 mi),Flat stage,Peter Sagan (SVK)
2012,07/07/2012,7,Tomblaine to La Planche des Belles Filles,199 km (124 mi),Medium mountain stage,Chris Froome (GBR)
2012,08/07/2012,8,Belfort to Porrentruy (Switzerland),157.5 km (98 mi),Medium mountain stage,Thibaut Pinot (FRA)
2012,09/07/2012,9,Arc-et-Senans to Besançon,41.5 km (26 mi),Individual time trial,Bradley Wiggins (GBR)
2012,11/07/2012,10,Mâcon to Bellegarde-sur-Valserine,194.5 km (121 mi),High mountain stage,Thomas Voeckler (FRA)
2012,12/07/2012,11,Albertville to La Toussuire-Les Sybelles,148 km (92 mi),High mountain stage,Pierre Rolland (FRA)
2012,13/07/2012,12,Saint-Jean-de-Maurienne to Annonay-Davézieux,226 km (140 mi),Medium mountain stage,David Millar (GBR)
2012,14/07/2012,13,Saint-Paul-Trois-Châteaux to Cap d'Agde,217 km (135 mi),Flat stage,André Greipel (GER)
2012,15/07/2012,14,Limoux to Foix,191 km (119 mi),High mountain stage,Luis León Sánchez (ESP)
2012,16/07/2012,15,Samatan to Pau,158.5 km (98 mi),Flat stage,Pierrick Fédrigo (FRA)
2012,18/07/2012,16,Pau to Bagnères-de-Luchon,197 km (122 mi),High mountain stage,Thomas Voeckler (FRA)
2012,19/07/2012,17,Bagnères-de-Luchon to Peyragudes,143.5 km (89 mi),High mountain stage,Alejandro Valverde (ESP)
2012,20/07/2012,18,Blagnac to Brive-la-Gaillarde,222.5 km (138 mi),Flat stage,Mark Cavendish (GBR)
2012,21/07/2012,19,Bonneval to Chartres,53.5 km (33 mi),Individual time trial,Bradley Wiggins (GBR)
2012,22/07/2012,20,Rambouillet to Paris (Champs-Élysées),120 km (75 mi),Flat stage,Mark Cavendish (GBR)
2013,29/06/2013,1,Porto-Vecchio to Bastia,213 km (132 mi),Flat stage,Marcel Kittel (GER)
2013,30/06/2013,2,Bastia to Ajaccio,156 km (97 mi),Medium mountain stage,Jan Bakelants (BEL)
2013,01/07/2013,3,Ajaccio to Calvi,145.5 km (90 mi),Medium mountain stage,Simon Gerrans (AUS)
2013,02/07/2013,4,Nice,25 km (16 mi),Team time trial,Orica–GreenEDGE
2013,03/07/2013,5,Cagnes-sur-Mer to Marseille,228.5 km (142 mi),Flat stage,Mark Cavendish (GBR)
2013,04/07/2013,6,Aix-en-Provence to Montpellier,176.5 km (110 mi),Flat stage,André Greipel (GER)
2013,05/07/2013,7,Montpellier to Albi,205.5 km (128 mi),Flat stage,Peter Sagan (SVK)
2013,06/07/2013,8,Castres to Ax 3 Domaines,195 km (121 mi),High mountain stage,Chris Froome (GBR)
2013,07/07/2013,9,Saint-Girons – Bagnères-de-Bigorre,168.5 km (105 mi),High mountain stage,Dan Martin (IRL)
2013,09/07/2013,10,Saint-Gildas-des-Bois to Saint-Malo,197 km (122 mi),Flat stage,Marcel Kittel (GER)
2013,10/07/2013,11,Avranches to Mont Saint-Michel,33 km (21 mi),Individual time trial,Tony Martin (GER)
2013,11/07/2013,12,Fougères to Tours,218 km (135 mi),Flat stage,Marcel Kittel (GER)
2013,12/07/2013,13,Tours to Saint-Amand-Montrond,173 km (107 mi),Flat stage,Mark Cavendish (GBR)
2013,13/07/2013,14,Saint-Pourçain-sur-Sioule to Lyon,191 km (119 mi),Medium mountain stage,Matteo Trentin (ITA)
2013,14/07/2013,15,Givors to Mont Ventoux,242.5 km (151 mi),High mountain stage,Chris Froome (GBR)
2013,16/07/2013,16,Vaison-la-Romaine to Gap,168 km (104 mi),High mountain stage,Rui Costa (POR)
2013,17/07/2013,17,Embrun to Chorges,32 km (20 mi),Individual time trial,Chris Froome (GBR)
2013,18/07/2013,18,Gap to Alpe d'Huez,172.5 km (107 mi),High mountain stage,Christophe Riblon (FRA)
2013,19/07/2013,19,Le Bourg-d'Oisans to Le Grand-Bornand,204.5 km (127 mi),High mountain stage,Rui Costa (POR)
2013,20/07/2013,20,Annecy to Semnoz,125 km (78 mi),High mountain stage,Nairo Quintana (COL)
2013,21/07/2013,21,Versailles to Paris (Champs-Élysées),133.5 km (83 mi),Flat stage,Marcel Kittel (GER)
2014,05/07/2014,1,Leeds to Harrogate (United Kingdom),190.5 km (118 mi),Flat stage,Marcel Kittel (GER)
2014,06/07/2014,2,York to Sheffield (United Kingdom),201 km (125 mi),Medium mountain stage,Vincenzo Nibali (ITA)
2014,07/07/2014,3,Cambridge to London (United Kingdom),155 km (96 mi),Flat stage,Marcel Kittel (GER)
2014,08/07/2014,4,Le Touquet-Paris-Plage to Lille Metropole,163.5 km (102 mi),Flat stage,Marcel Kittel (GER)
2014,09/07/2014,5,Ypres (Belgium) to Arenberg Porte du Hainaut,152.5 km (95 mi)[b],Medium mountain stage[c],Lars Boom (NED)
2014,10/07/2014,6,Arras to Reims,194 km (121 mi),Flat stage,André Greipel (GER)
2014,11/07/2014,7,Épernay to Nancy,234.5 km (146 mi),Flat stage,Matteo Trentin (ITA)
2014,12/07/2014,8,Tomblaine to Gérardmer La Mauselaine,161 km (100 mi),Medium mountain stage,Blel Kadri (FRA)
2014,13/07/2014,9,Gérardmer to Mulhouse,170 km (106 mi),Medium mountain stage,Tony Martin (GER)
2014,14/07/2014,10,Mulhouse to La Planche des Belles Filles,161.5 km (100 mi),High mountain stage,Vincenzo Nibali (ITA)
2014,16/07/2014,11,Besançon to Oyonnax,187.5 km (117 mi),Medium mountain stage,Tony Gallopin (FRA)
2014,17/07/2014,12,Bourg-en-Bresse to Saint-Étienne,185.5 km (115 mi),Flat stage,Alexander Kristoff (NOR)
2014,18/07/2014,13,Saint-Étienne to Chamrousse,197.5 km (123 mi),High mountain stage,Vincenzo Nibali (ITA)
2014,19/07/2014,14,Grenoble to Risoul,177 km (110 mi),High mountain stage,Rafał Majka (POL)
2014,20/07/2014,15,Tallard to Nîmes,222 km (138 mi),Flat stage,Alexander Kristoff (NOR)
2014,22/07/2014,16,Carcassonne to Bagnères-de-Luchon,237.5 km (148 mi),High mountain stage,Michael Rogers (AUS)
2014,23/07/2014,17,Saint-Gaudens to Saint-Lary Pla d’Adet,124.5 km (77 mi),High mountain stage,Rafał Majka (POL)
